sample_kind,sample_index,component_id,operation_code,category,component_description,project_title,scope_evidence,cutoff_date,rule_version,match_tier,funding_source_url,procurement_source_url,human_verdict,human_reason,reviewer,reviewed_at
OPEN,15,cmp_acc84a01516519b4e7ed,E79I25000870007,water_wastewater:monitoring,Monitoring,Sustainable Monitoring And Remote-sensing Technology for Environmental Resources,Sustainable Monitoring And Remote-sensing Technology for Environmental Resources,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,16,cmp_8ae221f3389f7432f7c0,F88C25003240007,ports_coastal:photovoltaic,Photovoltaic systems,Revamping LED e installazione impianto fotovoltaico su tetto,Revamping LED e installazione impianto fotovoltaico su tetto,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,17,cmp_16afb5d4e5fd668d1a4c,E21B24000170007,energy_efficiency:hvac,HVAC,ATTUATORE HVAC,ATTUATORE HVAC,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,18,cmp_f4d7c4040d60b843a447,F88C25000760007,energy_efficiency:photovoltaic,Photovoltaic systems,Installazione e posa impianto fotovoltaico e led,Installazione e posa impianto fotovoltaico e led,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,19,cmp_9b12ad8d615da7b9b6f7,F88C25001000007,ports_coastal:photovoltaic,Photovoltaic systems,Sostituzione lampade e nuovo impianto fotovoltaico,Sostituzione lampade e nuovo impianto fotovoltaico,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,20,cmp_a3f6c272e65515851891,F58C25001780007,energy_efficiency:lighting,Lighting,Ottimizzazione Energetica e Sostenibilit: Investimenti in LED e Fotovoltaico,Ottimizzazione Energetica e Sostenibilit: Investimenti in LED e Fotovoltaico,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,21,cmp_021cdc24a5c39b6ecbb3,F88C25000760007,energy_efficiency:lighting,Lighting,Installazione e posa impianto fotovoltaico e led,Installazione e posa impianto fotovoltaico e led,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,22,cmp_588038dc8a60bb21012d,E29I25000700007,water_wastewater:monitoring,Monitoring,"D-SMART - Digitalisation for Smart Monitoring, Assessment, Readiness and Technology  Realizzazione di un hub digitale SRI per Regione Lombardia","D-SMART - Digitalisation for Smart Monitoring, Assessment, Readiness and Technology  Realizzazione di un hub digitale SRI per Regione Lombardia",2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,23,cmp_ecf86ceede93cc1652df,F58C25000400007,energy_efficiency:photovoltaic,Photovoltaic systems,Sostituzione corpi illuminanti ed installazione impianto fotovoltaico,Sostituzione corpi illuminanti ed installazione impianto fotovoltaico,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,24,cmp_02c1b6a000247bc804cd,F59J25001070007,water_wastewater:monitoring,Monitoring,REal-time MOnitoring TEchnology for Embankments,REal-time MOnitoring TEchnology for Embankments,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,25,cmp_a1248da5f94083715390,F18C25002190007,energy_efficiency:lighting,Lighting,Relamping LED dello showroom,Relamping LED dello showroom,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,26,cmp_6703fb25fb8b9d275934,F98C25000580007,ports_coastal:photovoltaic,Photovoltaic systems,Sostituzione pompa di calore e corpi illuminanti ed installazione impianto fotovoltaico con batteria di accumulo,Sostituzione pompa di calore e corpi illuminanti ed installazione impianto fotovoltaico con batteria di accumulo,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,27,cmp_c673d5631acf0377308f,F88C25004320007,energy_efficiency:photovoltaic,Photovoltaic systems,Efficienza eneregtica mediante installazione di impianto fotovoltaico e relamping,Efficienza eneregtica mediante installazione di impianto fotovoltaico e relamping,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,28,cmp_0503cba3b69c9e7d9dd9,F58C25001830007,energy_efficiency:photovoltaic,Photovoltaic systems,"Sostituzione caldaia a gas metano con pompa di calore elettrica, sostituzione di corpi illuminanti a fluorescenza con LED e contestuale installazione di un impianto fotovoltaico con sistema di accumulo","Sostituzione caldaia a gas metano con pompa di calore elettrica, sostituzione di corpi illuminanti a fluorescenza con LED e contestuale installazione di un impianto fotovoltaico con sistema di accumulo",2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,29,cmp_5e1fa5b763c95ac2662b,F58C24000960007,water_wastewater:valves,Valves,Titanium components for Titalia valves,Titanium components for Titalia valves,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,30,cmp_b8f7dc6a03032a41e90a,F98C25000150007,ports_coastal:photovoltaic,Photovoltaic systems,installazione pompa di calore e fotovoltaico,installazione pompa di calore e fotovoltaico,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
